K,TestResult
0,8
1000,206
2000,220
3000,225
4000,227
5000,231
6000,236
7000,243
8000,240
9000,244
10000,249
11000,249
12000,249
13000,251
14000,254
15000,253
16000,269
17000,264
18000,257
19000,255
20000,265
21000,258
22000,257
23000,264
24000,260
25000,261
26000,272
27000,280
28000,278
29000,271
30000,271
31000,273
32000,271
33000,282
34000,274
35000,281
36000,274
37000,292
38000,276
39000,275
40000,279
41000,285
42000,283
43000,281
44000,289
45000,283
46000,292
47000,285
48000,283
49000,295
50000,296
51000,290
52000,288
53000,293
54000,299
55000,294
56000,307
57000,294
58000,301
59000,299
60000,304
61000,305
62000,307
63000,306
64000,301
65000,300
66000,314
67000,315
68000,302
69000,312
70000,314
71000,301
72000,303
73000,308
74000,318
75000,312
76000,326
77000,311
78000,304
79000,305
80000,345
81000,319
82000,312
83000,322
84000,308
85000,314
86000,322
87000,313
88000,317
89000,326
90000,308
91000,338
92000,310
93000,335
94000,310
95000,331
96000,314
97000,326
98000,319
99000,337
100000,318
101000,313
102000,332
103000,335
104000,338
105000,327
106000,324
107000,325
108000,341
109000,323
110000,352
111000,334
112000,342
113000,337
114000,340
115000,325
116000,326
117000,350
118000,325
119000,350
120000,333
121000,338
122000,348
123000,335
124000,330
125000,336
126000,356
127000,342
128000,329
129000,335
130000,364
131000,330
132000,353
133000,331
134000,337
135000,362
136000,330
137000,334
138000,347
139000,340
140000,341
141000,333
142000,341
143000,360
144000,350
145000,346
146000,335
147000,352
148000,345
149000,332
150000,344
151000,351
152000,342
153000,331
154000,332
155000,359
156000,345
157000,335
158000,334
159000,340
160000,351
161000,352
162000,336
163000,335
164000,341
165000,351
166000,357
167000,343
168000,364
169000,353
170000,354
171000,349
172000,374
173000,344
174000,350
175000,355
176000,346
177000,342
178000,345
179000,376
180000,348
181000,365
182000,351
183000,351
184000,359
185000,352
186000,346
187000,356
188000,358
189000,369
190000,349
191000,343
192000,361
193000,353
194000,369
195000,355
196000,375
197000,369
198000,368
199000,370
