ListSizes,TestResult
0,0
1000,1
2000,2
3000,2
4000,4
5000,4
6000,5
7000,6
8000,7
9000,10
10000,10
11000,12
12000,11
13000,12
14000,13
15000,13
16000,14
17000,15
18000,17
19000,18
20000,18
21000,19
22000,19
23000,21
24000,21
25000,22
26000,25
27000,24
28000,25
29000,26
30000,27
31000,28
32000,29
33000,30
34000,31
35000,36
36000,36
37000,35
38000,38
39000,38
40000,37
41000,38
42000,37
43000,38
44000,40
45000,40
46000,42
47000,43
48000,44
49000,43
50000,45
51000,45
52000,49
53000,50
54000,50
55000,51
56000,50
57000,51
58000,51
59000,53
60000,54
61000,56
62000,56
63000,56
64000,59
65000,58
66000,66
67000,64
68000,62
69000,62
70000,65
71000,67
72000,65
73000,67
74000,69
75000,69
76000,71
77000,71
78000,70
79000,73
80000,74
81000,78
82000,80
83000,82
84000,85
85000,80
86000,83
87000,83
88000,86
89000,81
90000,84
91000,89
92000,89
93000,87
94000,89
95000,85
96000,87
97000,90
98000,97
99000,91
100000,93
101000,95
102000,96
103000,95
104000,95
105000,94
106000,96
107000,100
108000,103
109000,100
110000,99
111000,100
112000,109
113000,104
114000,112
115000,106
116000,110
117000,111
118000,111
119000,109
120000,108
121000,112
122000,112
123000,113
124000,114
125000,113
126000,114
127000,114
128000,115
129000,117
130000,118
131000,117
132000,120
133000,120
134000,125
135000,129
136000,130
137000,131
138000,130
139000,131
140000,131
141000,134
142000,130
143000,135
144000,134
145000,137
146000,139
147000,139
148000,142
149000,139
150000,143
151000,140
152000,136
153000,148
154000,143
155000,145
156000,148
157000,145
158000,144
159000,144
160000,151
161000,148
162000,147
163000,156
164000,159
165000,155
166000,163
167000,158
168000,157
169000,153
170000,155
171000,168
172000,162
173000,158
174000,161
175000,168
176000,164
177000,177
178000,171
179000,169
180000,173
181000,172
182000,176
183000,176
184000,173
185000,167
186000,170
187000,175
188000,176
189000,174
190000,173
191000,173
192000,183
193000,183
194000,181
195000,184
196000,186
197000,183
198000,187
199000,189
